mesq_pres,b1_soilWater_0,b2_soilWater_10,b3_soilWater_30,b4_soilWater_60,b5_soilWater_100,b6_soilWater_200,b1_sandCont_0,b2_sandCont_10,b3_sandCont_30,b4_sandCont_60,b5_sandCont_100,b6_sandCont_200,b1_clayCont_0,b2_clayCont_10,b3_clayCont_30,b4_clayCont_60,b5_clayCont_100,b6_clayCont_200,b1_carbonCont_0,b2_carbonCont_10,b3_carbonCont_30,b4_carbonCont_60,b5_carbonCont_100,b6_carbonCont_200,ann_mean_temp,ann_temp_range,ann_precip,dist_road
0,16,16,17,18,18,19,59,59,57,56,55,53,19,19,22,23,24,25,1,1,1,0,0,0,160,368,410,324.939688
0,16,16,17,17,18,18,57,57,55,53,53,54,22,23,25,27,26,25,1,1,1,0,0,0,160,369,414,789.1793165
0,15,14,16,17,17,17,56,55,53,51,52,52,23,24,27,28,27,26,2,1,1,0,0,0,160,369,416,83.48466117
0,13,12,13,15,15,16,65,63,61,58,56,56,16,17,21,24,24,24,2,1,1,1,0,0,161,370,416,548.7403351
0,18,18,18,19,19,19,54,55,52,50,51,50,23,24,27,28,27,27,2,1,1,0,0,0,160,367,410,71.35943386
0,16,16,17,18,19,19,60,60,60,56,54,55,19,21,22,26,27,26,1,1,1,0,0,0,161,368,411,54.94957819
0,16,16,16,17,17,17,50,49,48,47,48,48,27,28,30,31,30,29,2,2,1,1,1,1,161,369,416,77.54000021
0,15,15,15,16,17,17,61,60,58,54,54,54,19,20,23,26,26,25,1,1,1,0,0,0,161,369,416,173.0927493
0,19,19,19,20,19,19,53,53,52,50,50,50,25,26,28,29,29,28,1,1,1,0,0,0,161,368,410,279.695782
1,17,17,17,18,19,19,61,60,59,54,53,54,20,21,24,28,28,27,2,2,1,1,0,0,161,368,410,699.8644934
0,15,15,15,17,18,18,60,59,56,54,54,53,21,22,25,29,29,28,1,1,1,0,0,0,161,368,410,838.7492308
0,17,16,17,18,18,18,59,59,57,54,55,54,21,22,25,28,27,27,2,1,1,1,0,0,161,369,414,70.3005162
1,17,17,18,18,19,20,56,55,53,53,51,51,19,21,23,24,25,23,2,2,1,1,0,0,161,369,416,172.0497313
0,14,14,15,16,17,17,64,63,60,59,59,59,18,19,22,23,23,22,2,1,1,1,0,0,161,369,416,244.4952063
0,16,16,16,18,18,19,58,57,55,53,52,53,19,20,23,25,26,24,2,2,1,1,0,0,161,368,410,745.0955916
1,17,16,17,18,18,19,58,58,54,52,52,52,18,18,23,26,26,26,2,2,1,1,0,0,161,368,410,123.9514797
1,16,16,16,17,17,17,62,61,60,57,56,56,18,19,21,23,24,23,2,1,1,1,0,0,161,369,410,130.1563362
0,15,15,16,16,17,17,62,60,58,55,56,56,16,18,21,24,23,23,2,1,1,1,0,0,161,369,410,240.6315722
0,15,15,15,16,17,17,57,56,55,53,52,52,22,23,26,28,28,27,2,1,1,1,0,0,162,368,410,65.0669594
0,16,16,17,17,18,18,62,63,59,57,55,56,18,19,23,25,26,24,2,1,1,1,0,0,161,369,410,378.5115664
0,15,15,16,16,17,18,61,60,57,53,53,53,18,20,24,28,27,26,2,1,1,1,0,0,161,369,410,247.6962038
0,15,15,15,16,16,17,63,62,59,57,57,56,17,18,23,25,24,24,2,1,1,1,0,0,161,369,410,235.8265458
0,15,15,15,16,16,17,62,61,59,58,59,59,18,19,22,24,23,22,1,1,1,0,0,0,161,369,410,174.6732235
0,14,14,15,16,16,17,65,65,60,59,57,57,15,16,21,23,24,24,1,1,1,1,0,0,161,369,412,1000.303161
0,14,15,15,16,17,17,65,66,61,59,59,59,15,16,22,24,24,23,1,1,1,1,0,0,161,369,412,1010.876818
1,14,14,15,16,16,17,66,66,63,61,61,60,16,16,21,22,22,22,1,1,1,1,0,0,161,369,412,895.8303605
0,15,15,16,17,17,18,63,63,59,57,56,56,18,18,23,25,24,24,1,1,1,1,0,0,161,369,413,884.5302001
0,15,15,16,16,17,17,65,66,62,60,58,58,16,17,22,24,25,24,1,1,1,1,0,0,161,369,413,932.8455612
0,14,13,13,15,16,16,67,66,63,61,58,58,15,17,20,22,23,22,1,1,1,1,0,0,161,369,414,78.73133982
0,15,14,15,16,17,18,63,62,60,58,57,57,16,17,21,23,22,22,1,1,1,1,0,0,161,369,414,111.7017396
0,16,15,16,17,17,18,55,54,53,52,51,52,19,21,22,24,24,24,2,2,1,1,0,0,161,367,409,826.7377666
0,17,16,17,18,18,18,57,56,53,50,50,50,23,23,27,31,31,31,2,2,1,1,0,0,162,368,410,104.836074
1,17,17,17,18,19,19,52,52,50,48,46,46,23,24,27,28,29,28,2,2,1,1,0,0,162,368,410,100.2096839
1,15,15,15,16,17,18,54,54,51,48,49,48,23,24,27,30,30,29,2,2,1,1,0,0,162,368,410,59.16906314
0,15,15,15,16,17,18,54,54,51,48,49,48,23,24,27,30,30,29,2,2,1,1,0,0,162,368,410,2.585323072
0,17,16,16,17,18,19,53,52,49,46,47,47,23,23,28,31,29,29,2,2,1,1,0,0,162,368,409,138.364188
0,16,15,16,16,17,18,53,52,50,48,48,48,25,27,30,31,30,29,2,2,1,1,0,0,162,368,409,23.9614572
0,16,16,16,17,17,18,53,53,51,48,48,48,23,24,26,28,29,27,2,2,1,1,1,0,162,368,410,121.1993475
1,14,14,14,15,16,16,63,64,61,58,57,58,19,21,24,26,26,25,2,1,1,1,0,0,162,368,410,434.3004063
