mesq_pres,b5_clayCont_100,b1_carbonCont_0,b2_carbonCont_10,b3_carbonCont_30,b4_carbonCont_60,b5_carbonCont_100,b6_carbonCont_200,ann_mean_temp,ann_precip,dist_road
0,24,1,1,1,0,0,0,160,410,324.939688
0,26,1,1,1,0,0,0,160,414,789.1793165
0,27,2,1,1,0,0,0,160,416,83.48466117
0,24,2,1,1,1,0,0,161,416,548.7403351
0,27,2,1,1,0,0,0,160,410,71.35943386
0,27,1,1,1,0,0,0,161,411,54.94957819
0,26,1,1,1,0,0,0,161,416,173.0927493
0,29,1,1,1,0,0,0,161,410,279.695782
1,28,2,2,1,1,0,0,161,410,699.8644934
0,29,1,1,1,0,0,0,161,410,838.7492308
0,27,2,1,1,1,0,0,161,414,70.3005162
1,25,2,2,1,1,0,0,161,416,172.0497313
0,23,2,1,1,1,0,0,161,416,244.4952063
0,26,2,2,1,1,0,0,161,410,745.0955916
1,26,2,2,1,1,0,0,161,410,123.9514797
1,24,2,1,1,1,0,0,161,410,130.1563362
0,23,2,1,1,1,0,0,161,410,240.6315722
0,28,2,1,1,1,0,0,162,410,65.0669594
0,26,2,1,1,1,0,0,161,410,378.5115664
0,27,2,1,1,1,0,0,161,410,247.6962038
0,24,2,1,1,1,0,0,161,410,235.8265458
0,23,1,1,1,0,0,0,161,410,174.6732235
0,24,1,1,1,1,0,0,161,412,1000.303161
0,24,1,1,1,1,0,0,161,412,1010.876818
1,22,1,1,1,1,0,0,161,412,895.8303605
0,24,1,1,1,1,0,0,161,413,884.5302001
0,25,1,1,1,1,0,0,161,413,932.8455612
0,23,1,1,1,1,0,0,161,414,78.73133982
0,22,1,1,1,1,0,0,161,414,111.7017396
0,24,2,2,1,1,0,0,161,409,826.7377666
0,31,2,2,1,1,0,0,162,410,104.836074
1,29,2,2,1,1,0,0,162,410,100.2096839
1,30,2,2,1,1,0,0,162,410,59.16906314
0,30,2,2,1,1,0,0,162,410,2.585323072
0,29,2,2,1,1,0,0,162,409,138.364188
0,30,2,2,1,1,0,0,162,409,23.9614572
0,29,2,2,1,1,1,0,162,410,121.1993475
1,26,2,1,1,1,0,0,162,410,434.3004063
0,26,2,2,1,1,0,0,162,410,441.5863599
0,27,2,1,1,0,0,0,162,409,525.7657783
0,27,1,1,1,0,0,0,162,409,749.6856015
0,24,1,1,1,0,0,0,162,410,117.544626
0,23,1,1,1,1,0,0,162,410,205.5018861
0,24,2,2,1,1,0,0,162,410,416.5486257
0,28,1,1,1,0,0,0,162,410,438.3427383
0,23,1,1,1,0,0,0,162,412,83.70130898
0,23,1,1,1,1,0,0,162,412,793.9732253
0,23,1,1,1,1,0,0,162,412,632.3939293
0,24,1,1,1,1,0,0,162,412,478.3309689
1,24,2,1,1,1,0,0,162,412,811.4585534
0,24,1,1,1,1,0,0,162,412,405.9646563
0,24,2,2,1,1,0,0,162,412,801.6455502
0,23,1,1,1,1,0,0,162,412,364.6952434
1,23,1,1,1,1,0,0,162,410,603.6767808
0,24,1,1,1,1,0,0,162,413,299.2696239
0,31,2,2,1,1,0,0,162,408,95.87121259
0,26,1,1,1,0,0,0,162,409,366.6492084
1,25,1,1,1,1,0,0,162,409,369.7135001
0,23,1,1,1,1,0,0,162,410,134.4334531
1,26,1,1,1,1,0,0,162,410,511.1499178
0,26,1,1,1,1,0,0,162,410,491.8790029
1,25,2,2,1,1,0,0,162,411,103.0008515
0,31,2,2,1,1,0,0,162,408,716.5029387
0,24,1,1,1,1,0,0,162,409,19.79467753
0,24,2,2,1,1,0,0,162,411,489.4018551
0,32,2,1,1,1,0,0,162,408,231.2397078
0,26,1,1,1,1,0,0,162,408,2.252062098
0,26,1,1,1,1,0,0,162,408,98.89415993
0,24,2,1,1,1,0,0,162,408,4.635165533
0,25,1,1,1,1,0,0,162,409,23.58592549
0,25,1,1,1,1,0,0,162,410,166.8890242
0,26,1,1,1,1,0,0,162,410,184.5390938
0,27,2,1,1,1,0,0,163,409,404.3511392
0,26,1,1,1,1,0,0,163,410,447.876553
0,23,1,1,1,1,1,0,163,410,452.8137381
0,26,1,1,1,1,1,0,163,410,580.2055668
0,28,1,1,1,1,0,0,163,410,688.2957072
0,28,1,1,1,1,0,0,163,410,663.2972779
0,23,2,2,1,1,0,0,162,411,1.190458154
