mesquite_presence,SoilWater_30cm,ClayContent_0cm,CarbonContent_30cm,annual_precip
0,17,19,1,410
0,17,22,1,414
0,16,23,1,416
0,13,16,1,416
0,18,23,1,410
0,17,19,1,411
0,16,27,1,416
0,15,19,1,416
0,19,25,1,410
1,17,20,1,410
0,15,21,1,410
0,17,21,1,414
1,18,19,1,416
0,15,18,1,416
0,16,19,1,410
1,17,18,1,410
1,16,18,1,410
0,16,16,1,410
0,15,22,1,410
0,17,18,1,410
0,16,18,1,410
0,15,17,1,410
0,15,18,1,410
0,15,15,1,412
0,15,15,1,412
1,15,16,1,412
0,16,18,1,413
0,16,16,1,413
0,13,15,1,414
0,15,16,1,414
0,16,19,1,409
0,17,23,1,410
1,17,23,1,410
1,15,23,1,410
0,15,23,1,410
0,16,23,1,409
0,16,25,1,409
0,16,23,1,410
1,14,19,1,410
0,14,20,1,410
0,16,21,1,409
0,17,22,1,409
0,15,18,1,410
0,15,16,1,410
0,15,18,1,410
0,18,20,1,410
0,15,16,1,412
0,14,14,1,412
0,13,14,1,412
0,14,15,1,412
1,14,15,1,412
0,14,15,1,412
0,14,15,1,412
0,13,16,1,412
1,14,15,1,410
0,14,15,1,413
0,18,26,1,408
0,17,21,1,409
1,17,18,1,409
0,15,16,1,410
1,14,20,1,410
0,14,20,1,410
1,14,19,1,411
0,17,22,1,408
0,16,18,1,409
0,17,20,1,411
0,16,23,1,408
0,16,20,1,408
0,16,20,1,408
0,18,18,1,408
0,16,17,1,409
0,16,21,1,410
0,15,20,1,410
0,17,23,1,409
0,15,22,1,410
0,15,21,1,410
0,16,21,1,410
0,17,21,1,410
0,17,21,1,410
0,16,18,1,411
0,14,17,1,411
0,16,19,1,411
0,16,20,1,411
1,16,20,1,411
0,15,20,1,411
0,16,20,1,411
0,18,23,1,405
0,20,22,1,407
0,18,21,1,411
0,15,20,1,411
0,17,21,1,410
0,17,21,1,410
0,19,20,1,410
0,19,20,1,410
0,16,17,1,411
0,18,22,1,411
0,17,16,1,411
0,16,18,1,411
0,16,19,1,406
0,17,20,1,411
0,21,26,1,426
0,16,20,1,427
0,20,24,1,427
0,23,24,1,428
0,23,27,1,428
0,21,23,1,428
1,17,20,1,428
1,17,20,1,428
0,19,21,1,430
0,22,28,1,433
0,22,25,1,427
0,22,25,1,427
0,25,25,1,428
0,23,25,1,428
0,24,24,1,428
0,23,25,1,428
0,22,28,1,433
0,19,24,1,426
1,20,23,1,427
0,24,28,1,428
0,24,28,1,428
0,21,24,1,428
0,17,19,1,429
0,19,24,1,431
0,21,24,1,428
0,21,27,1,428
0,23,23,1,428
0,22,26,1,428
0,13,16,1,428
1,15,17,1,427
0,21,28,1,427
0,22,27,1,428
0,19,21,1,428
0,17,25,1,433
0,19,20,1,433
0,23,29,1,426
1,22,27,1,426
0,22,26,1,428
0,21,24,1,428
1,16,22,1,428
0,19,23,1,430
0,21,24,1,431
0,21,24,1,431
0,19,24,1,433
0,23,27,1,428
0,23,28,1,428
1,23,24,1,431
0,23,27,1,431
0,22,25,1,431
0,23,27,1,431
0,21,25,1,431
1,22,25,1,431
0,22,25,1,431
0,19,23,1,431
0,18,22,1,431
0,18,22,1,431
0,20,24,1,431
0,17,23,1,426
0,19,23,1,426
0,21,25,1,430
0,20,23,1,430
1,19,22,1,430
0,13,17,1,431
0,16,19,1,431
1,14,16,1,431
0,19,21,1,431
0,18,22,1,431
0,18,21,1,431
0,20,24,1,431
0,19,22,1,431
0,17,21,1,431
0,18,22,1,431
0,21,21,1,431
